question_base,question_type,columns_count,columns,options_count,all_options,sample_columns
3.9 Quanto spesso il CPIA dove presta servizio organizza le seguenti attività di orientamento?,multiple_choice,6,"3.9 Quanto spesso il CPIA dove presta servizio organizza le seguenti attività di orientamento? [Interventi di docenti della formazione professionale ]; 3.9 Quanto spesso il CPIA dove presta servizio organizza le seguenti attività di orientamento? [Interventi di esperti del mondo del lavoro]; 3.9 Quanto spesso il CPIA dove presta servizio organizza le seguenti attività di orientamento? [Interventi di esperti di ambito psicodiagnostico ]; 3.9 Quanto spesso il CPIA dove presta servizio organizza le seguenti attività di orientamento? [Affiancamento, da parte del tutor, per un orientamento personalizzato]; 3.9 Quanto spesso il CPIA dove presta servizio organizza le seguenti attività di orientamento? [Incontri finalizzati all’utilizzo di strumenti per la costruzione della storia dello studente (ePortfolio; bilancio di competenze etc.)]; 3.9 Quanto spesso il CPIA dove presta servizio organizza le seguenti attività di orientamento? [Attività di “Accoglienza e Orientamento”]",7,"Interventi di docenti della formazione professionale; Interventi di esperti del mondo del lavoro; Interventi di esperti di ambito psicodiagnostico; Affiancamento, da parte del tutor, per un orientamento personalizzato; Incontri finalizzati all’utilizzo di strumenti per la costruzione della storia dello studente (ePortfolio; bilancio di competenze etc.); Attività di “Accoglienza e Orientamento”","['3.9 Quanto spesso il CPIA dove presta servizio organizza le seguenti attività di orientamento? [Interventi di docenti della formazione professionale ]', '3.9 Quanto spesso il CPIA dove presta servizio organizza le seguenti attività di orientamento? [Interventi di esperti del mondo del lavoro]', '3.9 Quanto spesso il CPIA dove presta servizio organizza le seguenti attività di orientamento? [Interventi di esperti di ambito psicodiagnostico ]', '3.9 Quanto spesso il CPIA dove presta servizio organizza le seguenti attività di orientamento? [Affiancamento, da parte del tutor, per un orientamento personalizzato]', '3.9 Quanto spesso il CPIA dove presta servizio organizza le seguenti attività di orientamento? [Incontri finalizzati all’utilizzo di strumenti per la costruzione della storia dello studente (ePortfolio; bilancio di competenze etc.)]']"
"3.10 Per migliorare le competenze di orientamento degli studenti, quali attività ritiene maggiormente efficaci per il CPIA in cui presta servizio?",multiple_choice,7,"3.10 Per migliorare le competenze di orientamento degli studenti, quali attività ritiene maggiormente efficaci per il CPIA in cui presta servizio? [Interventi di docenti della formazione professionale ]; 3.10 Per migliorare le competenze di orientamento degli studenti, quali attività ritiene maggiormente efficaci per il CPIA in cui presta servizio? [Interventi di esperti del mondo del lavoro ]; 3.10 Per migliorare le competenze di orientamento degli studenti, quali attività ritiene maggiormente efficaci per il CPIA in cui presta servizio? [Interventi di esperti di ambito counseling psicopedagogico]; 3.10 Per migliorare le competenze di orientamento degli studenti, quali attività ritiene maggiormente efficaci per il CPIA in cui presta servizio? [Affiancamento, da parte del tutor, per un orientamento personalizzato]; 3.10 Per migliorare le competenze di orientamento degli studenti, quali attività ritiene maggiormente efficaci per il CPIA in cui presta servizio? [Progettazione di interventi di didattica disciplinare con fini orientativi]; 3.10 Per migliorare le competenze di orientamento degli studenti, quali attività ritiene maggiormente efficaci per il CPIA in cui presta servizio? [Progettazione di interventi di didattica interdisciplinare con fini orientativi]; 3.10 Per migliorare le competenze di orientamento degli studenti, quali attività ritiene maggiormente efficaci per il CPIA in cui presta servizio? [Incontri finalizzati all’utilizzo di strumenti per la costruzione della storia dello studente (ePortfolio; bilancio di competenze etc.)]",8,"Interventi di docenti della formazione professionale; Interventi di esperti del mondo del lavoro; Interventi di esperti di ambito counseling psicopedagogico; Affiancamento, da parte del tutor, per un orientamento personalizzato; Progettazione di interventi di didattica disciplinare con fini orientativi; Progettazione di interventi di didattica interdisciplinare con fini orientativi; Incontri finalizzati all’utilizzo di strumenti per la costruzione della storia dello studente (ePortfolio; bilancio di competenze etc.)","['3.10 Per migliorare le competenze di orientamento degli studenti, quali attività ritiene maggiormente efficaci per il CPIA in cui presta servizio? [Interventi di docenti della formazione professionale ]', '3.10 Per migliorare le competenze di orientamento degli studenti, quali attività ritiene maggiormente efficaci per il CPIA in cui presta servizio? [Interventi di esperti del mondo del lavoro ]', '3.10 Per migliorare le competenze di orientamento degli studenti, quali attività ritiene maggiormente efficaci per il CPIA in cui presta servizio? [Interventi di esperti di ambito counseling psicopedagogico]', '3.10 Per migliorare le competenze di orientamento degli studenti, quali attività ritiene maggiormente efficaci per il CPIA in cui presta servizio? [Affiancamento, da parte del tutor, per un orientamento personalizzato]', '3.10 Per migliorare le competenze di orientamento degli studenti, quali attività ritiene maggiormente efficaci per il CPIA in cui presta servizio? [Progettazione di interventi di didattica disciplinare con fini orientativi]']"
3.11 Nel CPIA in cui presta servizio attualmente le attività di orientamento sono gestite,multiple_choice,4,3.11 Nel CPIA in cui presta servizio attualmente le attività di orientamento sono gestite [esclusivamente dal docente che si occupa dell'accoglienza]; 3.11 Nel CPIA in cui presta servizio attualmente le attività di orientamento sono gestite [dal docente che si occupa dell'accoglienza affiancato da altri docenti]; 3.11 Nel CPIA in cui presta servizio attualmente le attività di orientamento sono gestite [dai docenti con il coordinamento dal docente che si occupa dell'accoglienza]; 3.11 Nel CPIA in cui presta servizio attualmente le attività di orientamento sono gestite [dal docente che si occupa dell'accoglienza supportato dal personale ATA],4,esclusivamente dal docente che si occupa dell'accoglienza; dal docente che si occupa dell'accoglienza affiancato da altri docenti; dai docenti con il coordinamento dal docente che si occupa dell'accoglienza; dal docente che si occupa dell'accoglienza supportato dal personale ATA,"[""3.11 Nel CPIA in cui presta servizio attualmente le attività di orientamento sono gestite [esclusivamente dal docente che si occupa dell'accoglienza]"", ""3.11 Nel CPIA in cui presta servizio attualmente le attività di orientamento sono gestite [dal docente che si occupa dell'accoglienza affiancato da altri docenti]"", ""3.11 Nel CPIA in cui presta servizio attualmente le attività di orientamento sono gestite [dai docenti con il coordinamento dal docente che si occupa dell'accoglienza]"", ""3.11 Nel CPIA in cui presta servizio attualmente le attività di orientamento sono gestite [dal docente che si occupa dell'accoglienza supportato dal personale ATA]""]"
3.12 Nel CPIA in cui presta servizio sono attivi i percorsi PCTO?,multiple_choice,2,3.12 Nel CPIA in cui presta servizio sono attivi i percorsi PCTO?; 3.12 Nel CPIA in cui presta servizio sono attivi i percorsi PCTO?,2,No; Sì,"['3.12 Nel CPIA in cui presta servizio sono attivi i percorsi PCTO?', '3.12 Nel CPIA in cui presta servizio sono attivi i percorsi PCTO?']"
3.13 Ritiene che i percorsi di PCTO attivati nel CPIA in cui presta servizio debbano,multiple_choice,5,"3.13 Ritiene che i percorsi di PCTO attivati nel CPIA in cui presta servizio debbano  [essere proposti in base alla specificità del percorso di studi seguito presso il CPIA]; 3.13 Ritiene che i percorsi di PCTO attivati nel CPIA in cui presta servizio debbano  [aprire nuove prospettive per gli studenti, anche se non in linea con il percorso di studi seguito presso il CPIA]; 3.13 Ritiene che i percorsi di PCTO attivati nel CPIA in cui presta servizio debbano  [divenire parte integrante del curricolo: i docenti dovrebbero tenere conto del percorso PCTO nella riprogettazione delle attività curricolari]; 3.13 Ritiene che i percorsi di PCTO attivati nel CPIA in cui presta servizio debbano  [promuovere una interazione partecipativa in aula, con lo scopo di valorizzare l’esperienza svolta e rendere gli studenti protagonisti del processo orientativo]; 3.13 Ritiene che i percorsi di PCTO attivati nel CPIA in cui presta servizio debbano  [rimanere legati alle esperienze extrascolastiche: non è possibile ricondurre ogni attività al curricolo]",5,"essere proposti in base alla specificità del percorso di studi seguito presso il CPIA; aprire nuove prospettive per gli studenti, anche se non in linea con il percorso di studi seguito presso il CPIA; divenire parte integrante del curricolo: i docenti dovrebbero tenere conto del percorso PCTO nella riprogettazione delle attività curricolari; promuovere una interazione partecipativa in aula, con lo scopo di valorizzare l’esperienza svolta e rendere gli studenti protagonisti del processo orientativo; rimanere legati alle esperienze extrascolastiche: non è possibile ricondurre ogni attività al curricolo","['3.13 Ritiene che i percorsi di PCTO attivati nel CPIA in cui presta servizio debbano\xa0 [essere proposti in base alla specificità del percorso di studi seguito presso il CPIA]', '3.13 Ritiene che i percorsi di PCTO attivati nel CPIA in cui presta servizio debbano\xa0 [aprire nuove prospettive per gli studenti, anche se non in linea con il percorso di studi seguito presso il CPIA]', '3.13 Ritiene che i percorsi di PCTO attivati nel CPIA in cui presta servizio debbano\xa0 [divenire parte integrante del curricolo: i docenti dovrebbero tenere conto del percorso PCTO nella riprogettazione delle attività curricolari]', '3.13 Ritiene che i percorsi di PCTO attivati nel CPIA in cui presta servizio debbano\xa0 [promuovere una interazione partecipativa in aula, con lo scopo di valorizzare l’esperienza svolta e rendere gli studenti protagonisti del processo orientativo]', '3.13 Ritiene che i percorsi di PCTO attivati nel CPIA in cui presta servizio debbano\xa0 [rimanere legati alle esperienze extrascolastiche: non è possibile ricondurre ogni attività al curricolo]']"
"3.14 Il percorso di 30 ore, che fa parte dei moduli di orientamento previsti dalle linee guida, è stato attivato nel CPIA dove presta servizio?",multiple_choice,2,"3.14 Il percorso di 30 ore, che fa parte dei moduli di orientamento previsti dalle linee guida, è stato attivato nel CPIA dove presta servizio?; 3.14 Il percorso di 30 ore, che fa parte dei moduli di orientamento previsti dalle linee guida, è stato attivato nel CPIA dove presta servizio?",2,No; Sì,"['3.14 Il percorso di 30 ore, che fa parte dei moduli di orientamento previsti dalle linee guida, è stato attivato nel CPIA dove presta servizio?', '3.14 Il percorso di 30 ore, che fa parte dei moduli di orientamento previsti dalle linee guida, è stato attivato nel CPIA dove presta servizio?']"
3.15 il percorso è progettato per essere svolto,multiple_choice,7,"3.15 il percorso è progettato per essere svolto [nell’orario scolastico]; 3.15 il percorso è progettato per essere svolto [al di fuori dell’orario scolastico]; 3.15 il percorso è progettato per essere svolto [in modo interdisciplinare tra i docenti di ciascun consiglio di livello/consiglio di classe]; 3.15 il percorso è progettato per essere svolto [a livello di istituto in modo differenziato per percorsi di istruzione (I e II livello, percorsi di alfabetizzazione della lingua italiana)]; 3.15 il percorso è progettato per essere svolto [in attività laboratoriali trasversali alle classi e ai percorsi]; 3.15 il percorso è progettato per essere svolto [in accordo con gli studenti ]; 3.15 il percorso è progettato per essere svolto [avvalendosi del contributo di agenti esterni al CPIA (aziende, istituzioni territoriali, università)]",7,"nell’orario scolastico; al di fuori dell’orario scolastico; in modo interdisciplinare tra i docenti di ciascun consiglio di livello/consiglio di classe; a livello di istituto in modo differenziato per percorsi di istruzione (I e II livello, percorsi di alfabetizzazione della lingua italiana); in attività laboratoriali trasversali alle classi e ai percorsi; in accordo con gli studenti; avvalendosi del contributo di agenti esterni al CPIA (aziende, istituzioni territoriali, università)","['3.15 il percorso è progettato per essere svolto [nell’orario scolastico]', '3.15 il percorso è progettato per essere svolto [al di fuori dell’orario scolastico]', '3.15 il percorso è progettato per essere svolto [in modo interdisciplinare tra i docenti di ciascun consiglio di livello/consiglio di classe]', '3.15 il percorso è progettato per essere svolto [a livello di istituto in modo differenziato per percorsi di istruzione (I e II livello, percorsi di alfabetizzazione della lingua italiana)]', '3.15 il percorso è progettato per essere svolto [in attività laboratoriali trasversali alle classi e ai percorsi]']"
"4.1 Nella scuola secondaria di I grado è previsto il rilascio del “consiglio di orientamento” finale sul percorso di formazione da intraprendere nel secondo ciclo. Nel CPIA in cui presta servizio, il “consiglio di orientamento” viene fornito al termine del percorso di I livello?",multiple_choice,2,"4.1 Nella scuola secondaria di I grado è previsto il rilascio del “consiglio di orientamento” finale sul percorso di formazione da intraprendere nel secondo ciclo. Nel CPIA in cui presta servizio, il “consiglio di orientamento” viene fornito al termine del percorso di I livello?; 4.1 Nella scuola secondaria di I grado è previsto il rilascio del “consiglio di orientamento” finale sul percorso di formazione da intraprendere nel secondo ciclo. Nel CPIA in cui presta servizio, il “consiglio di orientamento” viene fornito al termine del percorso di I livello?",2,No; Sì,"['4.1 Nella scuola secondaria di I grado è previsto il rilascio del “consiglio di orientamento” finale sul percorso di formazione da intraprendere nel secondo ciclo. Nel CPIA in cui presta servizio, il “consiglio di orientamento” viene fornito al termine del percorso di I livello?', '4.1 Nella scuola secondaria di I grado è previsto il rilascio del “consiglio di orientamento” finale sul percorso di formazione da intraprendere nel secondo ciclo. Nel CPIA in cui presta servizio, il “consiglio di orientamento” viene fornito al termine del percorso di I livello?']"
4.2 In che modo viene formulato?,multiple_choice,7,"4.2 In che modo viene formulato? [Attraverso test psicodiagnostici somministrati da un esperto]; 4.2 In che modo viene formulato? [Sulla base dell’analisi documentata del percorso di studio, effettuata dal consiglio di classe/di livello]; 4.2 In che modo viene formulato? [Sulla base dell’analisi documentata del percorso di studio, effettuata dal docente referente per l'orientamento]; 4.2 In che modo viene formulato? [Sulla base dell’analisi delle attività scolastiche ed extrascolastiche documentate, effettuata dal consiglio di classe/di livello]; 4.2 In che modo viene formulato? [Sulla base dell’analisi delle attività scolastiche ed extrascolastiche documentate, effettuata dal docente referente per l'orientamento]; 4.2 In che modo viene formulato? [Sulla base dell’analisi delle competenze certificate secondo i modelli previsti dal MIM]; 4.2 In che modo viene formulato? [Attraverso la lettura e l’analisi dell’e-portfolio]",7,"Attraverso test psicodiagnostici somministrati da un esperto; Sulla base dell’analisi documentata del percorso di studio, effettuata dal consiglio di classe/di livello; Sulla base dell’analisi documentata del percorso di studio, effettuata dal docente referente per l'orientamento; Sulla base dell’analisi delle attività scolastiche ed extrascolastiche documentate, effettuata dal consiglio di classe/di livello; Sulla base dell’analisi delle attività scolastiche ed extrascolastiche documentate, effettuata dal docente referente per l'orientamento; Sulla base dell’analisi delle competenze certificate secondo i modelli previsti dal MIM; Attraverso la lettura e l’analisi dell’e-portfolio","['4.2 In che modo viene formulato? [Attraverso test psicodiagnostici somministrati da un esperto]', '4.2 In che modo viene formulato? [Sulla base dell’analisi documentata del percorso di studio, effettuata dal consiglio di classe/di livello]', ""4.2 In che modo viene formulato? [Sulla base dell’analisi documentata del percorso di studio, effettuata dal docente referente per l'orientamento]"", '4.2 In che modo viene formulato? [Sulla base dell’analisi delle attività scolastiche ed extrascolastiche documentate, effettuata dal consiglio di classe/di livello]', ""4.2 In che modo viene formulato? [Sulla base dell’analisi delle attività scolastiche ed extrascolastiche documentate, effettuata dal docente referente per l'orientamento]""]"
4.3 Gli strumenti per l’orientamento attualmente utilizzati nel CPIA in cui presta servizio sono prevalentemente,multiple_choice,6,"4.3 Gli strumenti per l’orientamento attualmente utilizzati nel CPIA in cui presta servizio sono prevalentemente [test per la diagnosi delle attitudini dello studente ]; 4.3 Gli strumenti per l’orientamento attualmente utilizzati nel CPIA in cui presta servizio sono prevalentemente [test per la rilevazione di abilità e competenze dello studente]; 4.3 Gli strumenti per l’orientamento attualmente utilizzati nel CPIA in cui presta servizio sono prevalentemente [questionari per l’autovalutazione delle proprie strategie di apprendimento]; 4.3 Gli strumenti per l’orientamento attualmente utilizzati nel CPIA in cui presta servizio sono prevalentemente [questionari per l’autovalutazione di interessi e inclinazioni ]; 4.3 Gli strumenti per l’orientamento attualmente utilizzati nel CPIA in cui presta servizio sono prevalentemente [dispositivi per la riflessione sul percorso di formazione (colloquio, ePortfolio, bilancio delle competenze etc.)]; 4.3 Gli strumenti per l’orientamento attualmente utilizzati nel CPIA in cui presta servizio sono prevalentemente [dispositivi per l’autonarrazione del percorso di formazione (colloquio, ePortfolio, bilancio delle competenze etc.)]",6,"test per la diagnosi delle attitudini dello studente; test per la rilevazione di abilità e competenze dello studente; questionari per l’autovalutazione delle proprie strategie di apprendimento; questionari per l’autovalutazione di interessi e inclinazioni; dispositivi per la riflessione sul percorso di formazione (colloquio, ePortfolio, bilancio delle competenze etc.); dispositivi per l’autonarrazione del percorso di formazione (colloquio, ePortfolio, bilancio delle competenze etc.)","['4.3 Gli strumenti per l’orientamento attualmente utilizzati nel CPIA in cui presta servizio sono prevalentemente [test per la diagnosi delle attitudini dello studente ]', '4.3 Gli strumenti per l’orientamento attualmente utilizzati nel CPIA in cui presta servizio sono prevalentemente [test per la rilevazione di abilità e competenze dello studente]', '4.3 Gli strumenti per l’orientamento attualmente utilizzati nel CPIA in cui presta servizio sono prevalentemente [questionari per l’autovalutazione delle proprie strategie di apprendimento]', '4.3 Gli strumenti per l’orientamento attualmente utilizzati nel CPIA in cui presta servizio sono prevalentemente [questionari per l’autovalutazione di interessi e inclinazioni ]', '4.3 Gli strumenti per l’orientamento attualmente utilizzati nel CPIA in cui presta servizio sono prevalentemente [dispositivi per la riflessione sul percorso di formazione (colloquio, ePortfolio, bilancio delle competenze etc.)]']"
"4.4 Per migliorare le capacità di orientamento degli studenti, quali strumenti ritiene che dovrebbero essere utilizzati nel CPIA in cui presta servizio?",multiple_choice,6,"4.4 Per migliorare le capacità di orientamento degli studenti, quali strumenti ritiene che dovrebbero essere utilizzati nel CPIA in cui presta servizio? [Test per la diagnosi delle attitudini dello studente ]; 4.4 Per migliorare le capacità di orientamento degli studenti, quali strumenti ritiene che dovrebbero essere utilizzati nel CPIA in cui presta servizio? [Test per la rilevazione di abilità e competenze dello studente]; 4.4 Per migliorare le capacità di orientamento degli studenti, quali strumenti ritiene che dovrebbero essere utilizzati nel CPIA in cui presta servizio? [Questionari per l’autovalutazione delle proprie strategie di apprendimento ]; 4.4 Per migliorare le capacità di orientamento degli studenti, quali strumenti ritiene che dovrebbero essere utilizzati nel CPIA in cui presta servizio? [Questionari per l’autovalutazione di interessi e inclinazioni ]; 4.4 Per migliorare le capacità di orientamento degli studenti, quali strumenti ritiene che dovrebbero essere utilizzati nel CPIA in cui presta servizio? [Dispositivi per la riflessione sul percorso di formazione (colloquio, ePortfolio, bilancio delle competenze etc.)]; 4.4 Per migliorare le capacità di orientamento degli studenti, quali strumenti ritiene che dovrebbero essere utilizzati nel CPIA in cui presta servizio? [Dispositivi per l’autonarrazione del percorso di formazione (colloquio, ePortfolio, bilancio delle competenze etc.)]",6,"Test per la diagnosi delle attitudini dello studente; Test per la rilevazione di abilità e competenze dello studente; Questionari per l’autovalutazione delle proprie strategie di apprendimento; Questionari per l’autovalutazione di interessi e inclinazioni; Dispositivi per la riflessione sul percorso di formazione (colloquio, ePortfolio, bilancio delle competenze etc.); Dispositivi per l’autonarrazione del percorso di formazione (colloquio, ePortfolio, bilancio delle competenze etc.)","['4.4 Per migliorare le capacità di orientamento degli studenti, quali strumenti ritiene che dovrebbero essere utilizzati nel CPIA in cui presta servizio? [Test per la diagnosi delle attitudini dello studente ]', '4.4 Per migliorare le capacità di orientamento degli studenti, quali strumenti ritiene che dovrebbero essere utilizzati nel CPIA in cui presta servizio? [Test per la rilevazione di abilità e competenze dello studente]', '4.4 Per migliorare le capacità di orientamento degli studenti, quali strumenti ritiene che dovrebbero essere utilizzati nel CPIA in cui presta servizio? [Questionari per l’autovalutazione delle proprie strategie di apprendimento ]', '4.4 Per migliorare le capacità di orientamento degli studenti, quali strumenti ritiene che dovrebbero essere utilizzati nel CPIA in cui presta servizio? [Questionari per l’autovalutazione di interessi e inclinazioni ]', '4.4 Per migliorare le capacità di orientamento degli studenti, quali strumenti ritiene che dovrebbero essere utilizzati nel CPIA in cui presta servizio? [Dispositivi per la riflessione sul percorso di formazione (colloquio, ePortfolio, bilancio delle competenze etc.)]']"
"4.5 Nel CPIA in cui presta servizio, attualmente si forniscono agli studenti istruzioni per",multiple_choice,7,"4.5 Nel CPIA in cui presta servizio, attualmente si forniscono agli studenti istruzioni per [accedere a informazioni relative a offerte di lavoro, stage, tirocini attraverso canali tradizionali (uffici preposti; incontri in presenza nelle scuole o nelle università; meeting con aziende etc.)]; 4.5 Nel CPIA in cui presta servizio, attualmente si forniscono agli studenti istruzioni per [navigare in banche dati per accedere a informazioni relative a offerte di lavoro, stage, tirocini (siti specifici del MIM; siti delle scuole; siti delle università; siti dedicati al matching; siti delle aziende etc.)]; 4.5 Nel CPIA in cui presta servizio, attualmente si forniscono agli studenti istruzioni per [elaborare un CV utilizzando i formati europei in lingua italiana]; 4.5 Nel CPIA in cui presta servizio, attualmente si forniscono agli studenti istruzioni per [elaborare un CV utilizzando i formati europei in lingua inglese]; 4.5 Nel CPIA in cui presta servizio, attualmente si forniscono agli studenti istruzioni per [elaborare una lettera di presentazione in lingua italiana]; 4.5 Nel CPIA in cui presta servizio, attualmente si forniscono agli studenti istruzioni per [elaborare una lettera di presentazione in lingua inglese]; 4.5 Nel CPIA in cui presta servizio, attualmente si forniscono agli studenti istruzioni per [elaborare un CV amplificato utilizzando l’ePortfolio ]",13,"accedere a informazioni relative a offerte di lavoro, stage, tirocini attraverso canali tradizionali (uffici preposti; incontri in presenza nelle scuole o nelle università; meeting con aziende etc.); navigare in banche dati per accedere a informazioni relative a offerte di lavoro, stage, tirocini (siti specifici del MIM; siti delle scuole; siti delle università; siti dedicati al matching; siti delle aziende etc.); elaborare un CV utilizzando i formati europei in lingua italiana; elaborare un CV utilizzando i formati europei in lingua inglese; elaborare una lettera di presentazione in lingua italiana; elaborare una lettera di presentazione in lingua inglese; elaborare un CV amplificato utilizzando l’ePortfolio","['4.5 Nel CPIA in cui presta servizio, attualmente si forniscono agli studenti istruzioni per [accedere a informazioni relative a offerte di lavoro, stage, tirocini attraverso canali tradizionali (uffici preposti; incontri in presenza nelle scuole o nelle università; meeting con aziende etc.)]', '4.5 Nel CPIA in cui presta servizio, attualmente si forniscono agli studenti istruzioni per [navigare in banche dati per accedere a informazioni relative a offerte di lavoro, stage, tirocini (siti specifici del MIM; siti delle scuole; siti delle università; siti dedicati al matching; siti delle aziende etc.)]', '4.5 Nel CPIA in cui presta servizio, attualmente si forniscono agli studenti istruzioni per [elaborare un CV utilizzando i formati europei in lingua italiana]', '4.5 Nel CPIA in cui presta servizio, attualmente si forniscono agli studenti istruzioni per [elaborare un CV utilizzando i formati europei in lingua inglese]', '4.5 Nel CPIA in cui presta servizio, attualmente si forniscono agli studenti istruzioni per [elaborare una lettera di presentazione in lingua italiana]']"
